"conference","year","ordinal","location","submissions","accepted","acceptance_rate"
"AAAI","2026","40th","Singapore, Singapore","23680","4167","17.6"
"AAAI","2025","39th","Philadelphia, USA","12957","3032","23.4"
"AAAI","2024","38th","Vancouver, Canada","9862","2342","23.7"
"AAAI","2023","37th","Washington DC, USA","8777","1721","19.6"
"AAAI","2022","36th","Online, Online","9020","1349","15"
"AAAI","2021","35th","Online, Online","7911","1692","21.4"
"AAAI","2020","34th","New York City, USA","7737","1591","20.6"
"AAAI","2019","33rd","Honolulu, Hawaii, USA","7095","1150","16.2"
"AAAI","2018","32nd","New Orleans, USA","3808","938","24.6"
"AAAI","2017","31st","San Francisco, California, USA","2571","639","24.9"
"AAAI","2016","30th","Phoenix, USA","2143","548","25.6"
"AAAI","2015","29th","Austin, USA","1991","539","27.1"
"AAAI","2014","28th","Qu̩bec City, Canada","1406","398","28.3"
"AAAI","2013","27th","Bellevue, Washington, USA","690","203","29.4"
"AAAI","2012","26th","Toronto, Canada","1129","294","26"
"AAAI","2011","25th","San Francisco, California, USA","990","242","24.4"
"AAAI","2010","24th","Atlanta, USA","977","264","27"
"AAAI","2008","23rd","Chicago, USA","937","227","24.2"
"AAAI","2007","22nd","Vancouver, Canada","923","251","27.2"
"AAAI","2006","21st","Boston, USA","774","171","22.1"
"AAAI","2005","20th","Pittsburgh, USA","803","229","28.5"
"AAAI","2004","19th","San Jose, California, USA","453","120","26.5"
"AAAI","2002","18th","Edmonton, Alberta, USA","469","121","25.8"
"AAAI","2000","17th","Austin, USA","431","143","33.2"
"AAAI","1999","16th","Orlando, USA","400","109","27.3"
"AAAI","1998","15th","Madison, USA","475","143","30.1"
"AAAI","1997","14th","Providence, Rhode Island, USA","323","117","36.2"
"AAAI","1996","13th","Portland, USA","643","197","30.6"
"AAAI","1994","12th","Seattle, USA","725","222","30.6"
"AAAI","1993","11th","Washington DC, USA","524","126","24"
"AAAI","1992","10th","San Jose, California, USA","636","133","20.9"
"AAAI","1991","9th","Anaheim, California, USA","603","142","23.5"
"AAAI","1990","8th","Boston, USA","926","161","17.4"
"AAAI","1988","7th","Saint Paul, Minnesota, USA","850","148","17.4"
"AAAI","1987","6th","Seattle, USA","715","149","20.8"
"AAAI","1986","5th","Philadelphia, USA","817","187","22.9"
"ICML","2026","43rd","Seoul, Korea","23918","6352","26.6"
"ICML","2025","42nd","Vancouver, Canada","12107","3260","26.9"
"ICML","2024","41st","Vienna, Austria","9473","2609","27.5"
"ICML","2023","40th","Honolulu, Hawaii, USA","6538","1827","27.9"
"ICML","2022","39th","Baltimore, USA","5630","1235","21.9"
"ICML","2021","38th","Online, Online","5513","1184","21.5"
"ICML","2020","37th","Online, Online","4990","1088","21.8"
"ICML","2019","36th","Long Beach, California, USA","3424","774","22.6"
"ICML","2018","35th","Stockholm, Sweden","2473","621","25.1"
"ICML","2017","34th","Sydney, Australia","1676","434","25.9"
"ICML","2016","33rd","New York City, USA","1320","322","24.4"
"ICML","2015","32nd","Lille, France","1037","270","26"
"ICML","2014","31st","Beijing, China","1238","310","25"
"ICML","2010","27th","Haifa, Israel","594","152","25.6"
"ICML","2009","26th","Montreal, Canada","595","160","26.9"
"ICML","2008","25th","Helsinki, Finland","583","158","27.1"
"ICML","2007","24th","Corvallis, USA","522","150","28.7"
"ICML","2006","23rd","Pittsburgh, USA","548","140","25.5"
"ICML","2005","22nd","Bonn, Germany","491","134","27.3"
"ICML","2004","21st","Banff, Canada","368","118","32.1"
"ICML","2003","20th","Washington DC, USA","371","119","32.1"
"ICML","2002","19th","Sydney, Australia","261","86","33"
"ICML","2001","18th","Williamstown, USA","249","80","32.1"
"ICML","1998","15th","Madison, USA","215","66","30.7"
"ICML","1993","10th","Amherst, USA","164","44","26.8"
"ICML","1990","7th","Austin, USA","165","50","30.3"
"ICML","1988","5th","Ann Arbor, USA","150","49","32.7"
"ICLR","2025","13th","Singapore, Singapore","11565","3710","32.1"
"ICLR","2024","12th","Vienna, Austria","7304","2250","30.8"
"ICLR","2023","11th","Kigali, Rwanda","4938","1574","31.9"
"ICLR","2022","10th","Online, Online","3391","1095","32.3"
"ICLR","2021","9th","Online, Online","2997","860","28.7"
"ICLR","2020","8th","Online, Online","2594","687","26.5"
"ICLR","2019","7th","New Orleans, USA","1591","500","31.4"
"ICLR","2018","6th","Vancouver, Canada","981","314","32"
"ICLR","2017","5th","Toulon, France","507","198","39.1"
"ICLR","2016","4th","San Juan, Puerto Rico","265","80","30.2"
"ICLR","2015","3rd","San Diego, California, USA","143","31","21.7"
"ICLR","2014","2nd","Banff, Canada","87","35","40.2"
"ICLR","2013","1st","Scottsdale, USA","67","23","34.3"
"IJCAI","2025","34th","Montreal, Canada","5806","1023","17.6"
"IJCAI","2024","33rd","Jeju, Korea","5651","791","14"
"IJCAI","2023","32nd","Macau, China","4566","643","14.1"
"IJCAI","2022","31st","Vienna, Austria","4537","679","15"
"IJCAI","2021","30th","Online, Online","4204","587","14"
"IJCAI","2020","29th","Online, Online","4717","592","12.6"
"IJCAI","2019","28th","Macau, China","4752","850","17.9"
"IJCAI","2018","27th","Stockholm, Sweden","3470","710","20.5"
"IJCAI","2017","26th","Melbourne, Australia","2540","660","26"
"IJCAI","2016","25th","New York City, USA","2294","551","24"
"IJCAI","2015","24th","Buenos Aires, Argentina","1996","572","28.7"
"IJCAI","2013","23rd","Beijing, China","1473","413","28"
"IJCAI","2011","22nd","Barcelona, Spain","1325","400","30.2"
"IJCAI","2009","21st","Pasadena, California, USA","1291","331","25.6"
"IJCAI","2007","20th","Hyderabad, India","1365","470","34.4"
"IJCAI","2005","19th","Edinburgh, Scotland, UK","1339","240","17.9"
"NeurIPS","2025","39th","San Diego, California, USA","21575","5290","24.5"
"NeurIPS","2024","38th","Vancouver, Canada","15671","4043","25.8"
"NeurIPS","2023","37th","New Orleans, USA","12343","3218","26.1"
"NeurIPS","2022","36th","New Orleans, USA","10411","2672","25.7"
"NeurIPS","2021","35th","Online, Online","9122","2334","25.6"
"NeurIPS","2020","34th","Online, Online","9467","1898","20"
"NeurIPS","2019","33rd","Vancouver, Canada","6743","1428","21.2"
"NeurIPS","2018","32nd","Montreal, Canada","4856","1011","20.8"
"NeurIPS","2017","31st","Long Beach, California, USA","3240","678","20.9"
"NeurIPS","2016","30th","Barcelona, Spain","2406","568","23.6"
"NeurIPS","2015","29th","Montreal, Canada","1838","403","21.9"
"NeurIPS","2014","28th","Montreal, Canada","1678","414","24.7"
"NeurIPS","2013","27th","Lake Tahoe, California, USA","1420","360","25.4"
"NeurIPS","2012","26th","Lake Tahoe, California, USA","1452","370","25.5"
"NeurIPS","2011","25th","Granada, Spain","1400","306","21.9"
"NeurIPS","2010","24th","Vancouver, Canada","1219","292","24"
"NeurIPS","2009","23rd","Vancouver, Canada","1105","263","23.8"
"NeurIPS","2008","22nd","Vancouver, Canada","1016","250","24.6"
"NeurIPS","2007","21st","Vancouver, Canada","975","217","22.3"
"NeurIPS","2006","20th","Vancouver, Canada","833","204","24.5"
